Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S006608    ,Horta-Guinardó,la Vall d'Hebron,2.143557,41.427377,July,26-31,18-21h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S003247    ,Horta-Guinardó,la Vall d'Hebron,2.143685,41.427872,April,6-10,12-15h,Saturday,Weekend,2,0,2,7,FALSE,FALSE
2017S005244    ,Horta-Guinardó,la Vall d'Hebron,2.145233,41.431516,June,11-15,15-18h,Thursday,Weekday,1,0,1,5,FALSE,FALSE
2017S001147    ,Horta-Guinardó,Horta,2.153714,41.435524,February,6-10,21-00h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S000790    ,Horta-Guinardó,Horta,2.163796,41.435173,January,26-31,06-09h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S007125    ,Horta-Guinardó,Horta,2.158386,41.432688,August,16-20,18-21h,Thursday,Weekday,1,0,1,1,FALSE,FALSE
2017S000991    ,Horta-Guinardó,Horta,2.156025,41.439134,February,6-10,12-15h,Monday,Weekday,4,0,4,3,FALSE,FALSE
2017S010486    ,Horta-Guinardó,Horta,2.153861,41.438744,December,16-20,09-12h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S010674    ,Horta-Guinardó,Horta,2.155278,41.439371,December,26-31,18-21h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S002062    ,Horta-Guinardó,Horta,2.153327,41.436501,March,11-15,15-18h,Tuesday,Weekday,0,0,0,1,FALSE,FALSE
2017S003739    ,Horta-Guinardó,Horta,2.14876,41.436144,April,26-31,06-09h,Thursday,Weekday,1,0,1,2,FALSE,FALSE
2017S008407    ,Horta-Guinardó,Horta,2.161682,41.437342,October,11-15,21-00h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S007122    ,Horta-Guinardó,Horta,2.1619,41.437337,August,21-25,12-15h,Tuesday,Weekday,2,0,2,2,FALSE,FALSE
2017S000573    ,Horta-Guinardó,Horta,2.161544,41.439925,January,21-25,15-18h,Saturday,Weekend,1,0,1,2,FALSE,FALSE
2017S006901    ,Horta-Guinardó,Horta,2.159523,41.439753,August,6-10,18-21h,Thursday,Weekday,3,0,3,3,FALSE,FALSE
2017S008927    ,Horta-Guinardó,Horta,2.152665,41.438175,October,26-31,18-21h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S003646    ,Horta-Guinardó,Horta,2.153976,41.437842,April,21-25,12-15h,Monday,Weekday,1,0,1,1,FALSE,FALSE
2017S009360    ,Horta-Guinardó,Horta,2.159523,41.439753,November,11-15,18-21h,Saturday,Weekend,0,0,0,3,FALSE,FALSE
2017S006921    ,Horta-Guinardó,Horta,2.157243,41.438897,August,11-15,18-21h,Friday,Weekday,2,0,2,3,FALSE,FALSE
2017S007598    ,Horta-Guinardó,Horta,2.150639,41.443107,September,11-15,15-18h,Wednesday,Weekday,6,0,6,2,FALSE,FALSE
2017S009108    ,Horta-Guinardó,Can Baró,2.160615,41.41765,November,1-5,06-09h,Saturday,Weekend,1,0,1,9,FALSE,FALSE
